"Population by Caste Ethinicity","Number"
"Badi",""
"Female","33"
"Male","30"
"","63"
"Bote",""
"Female","45"
"Male","48"
"","93"
"Brahman - Hill",""
"Female","984"
"Male","927"
"","1911"
"Chamar/ Harijan/ Ram",""
"Female","67"
"Male","70"
"","137"
"Chhetri",""
"Female","3032"
"Male","2807"
"","5839"
"Dalit Others",""
"Female","315"
"Male","292"
"","607"
"Damai/Dholi",""
"Female","151"
"Male","148"
"","299"
"Dhobi",""
"Female","21"
"Male","25"
"","46"
"Dusadh/ Pasawan/ Pasi",""
"Female","23"
"Male","27"
"","50"
"Kalwar",""
"Female","12"
"Male","16"
"","28"
"Kami",""
"Female","1536"
"Male","1474"
"","3010"
"Kayastha",""
"Female","19"
"Male","15"
"","34"
"Kewat",""
"Female","5"
"Male","12"
"","17"
"Limbu",""
"Female","15"
"Male","7"
"","22"
"Lodh",""
"Female","17"
"Male","19"
"","36"
"Lohar",""
"Female","61"
"Male","73"
"","134"
"Magar",""
"Female","323"
"Male","300"
"","623"
"Marwadi",""
"Female","18"
"Male","20"
"","38"
"Musalman",""
"Female","380"
"Male","374"
"","754"
"Newar",""
"Female","31"
"Male","43"
"","74"
"Others",""
"Female","30"
"Male","40"
"","70"
"Punjabi/Sikh",""
"Female","24"
"Male","25"
"","49"
"Raji",""
"Female","690"
"Male","655"
"","1345"
"Sanyasi/Dasnami",""
"Female","29"
"Male","26"
"","55"
"Sarki",""
"Female","36"
"Male","54"
"","90"
"Tamang",""
"Female","46"
"Male","47"
"","93"
"Teli",""
"Female","9"
"Male","10"
"","19"
"Terai Others",""
"Female","581"
"Male","593"
"","1174"
"Thakuri",""
"Female","344"
"Male","324"
"","668"
"Tharu",""
"Female","17113"
"Male","17072"
"","34185"
"Yadav",""
"Female","139"
"Male","143"
"","282"
