"Population by Single Year of Age","Number"
"0",""
"Female","216"
"Male","223"
"1",""
"Female","201"
"Male","206"
"10",""
"Female","335"
"Male","328"
"11",""
"Female","219"
"Male","238"
"12",""
"Female","323"
"Male","323"
"13",""
"Female","270"
"Male","279"
"14",""
"Female","253"
"Male","249"
"15",""
"Female","213"
"Male","228"
"16",""
"Female","236"
"Male","205"
"17",""
"Female","181"
"Male","141"
"18",""
"Female","261"
"Male","247"
"19",""
"Female","141"
"Male","113"
"2",""
"Female","242"
"Male","284"
"20",""
"Female","240"
"Male","169"
"21",""
"Female","125"
"Male","104"
"22",""
"Female","200"
"Male","138"
"23",""
"Female","139"
"Male","113"
"24",""
"Female","182"
"Male","158"
"25",""
"Female","235"
"Male","183"
"26",""
"Female","172"
"Male","163"
"27",""
"Female","133"
"Male","136"
"28",""
"Female","208"
"Male","169"
"29",""
"Female","81"
"Male","87"
"3",""
"Female","280"
"Male","304"
"30",""
"Female","226"
"Male","197"
"31",""
"Female","73"
"Male","72"
"32",""
"Female","126"
"Male","152"
"33",""
"Female","64"
"Male","77"
"34",""
"Female","76"
"Male","69"
"35",""
"Female","225"
"Male","164"
"36",""
"Female","106"
"Male","124"
"37",""
"Female","70"
"Male","84"
"38",""
"Female","114"
"Male","105"
"39",""
"Female","48"
"Male","71"
"4",""
"Female","270"
"Male","304"
"40",""
"Female","177"
"Male","157"
"41",""
"Female","57"
"Male","80"
"42",""
"Female","61"
"Male","89"
"43",""
"Female","51"
"Male","55"
"44",""
"Female","46"
"Male","61"
"45",""
"Female","129"
"Male","118"
"46",""
"Female","67"
"Male","72"
"47",""
"Female","27"
"Male","45"
"48",""
"Female","70"
"Male","75"
"49",""
"Female","37"
"Male","35"
"5",""
"Female","287"
"Male","315"
"50",""
"Female","102"
"Male","105"
"51",""
"Female","26"
"Male","31"
"52",""
"Female","60"
"Male","71"
"53",""
"Female","35"
"Male","42"
"54",""
"Female","27"
"Male","43"
"55",""
"Female","85"
"Male","84"
"56",""
"Female","39"
"Male","40"
"57",""
"Female","28"
"Male","41"
"58",""
"Female","42"
"Male","53"
"59",""
"Female","18"
"Male","19"
"6",""
"Female","327"
"Male","313"
"60",""
"Female","93"
"Male","90"
"61",""
"Female","30"
"Male","33"
"62",""
"Female","25"
"Male","42"
"63",""
"Female","27"
"Male","24"
"64",""
"Female","22"
"Male","29"
"65",""
"Female","70"
"Male","46"
"66",""
"Female","15"
"Male","24"
"67",""
"Female","17"
"Male","15"
"68",""
"Female","21"
"Male","39"
"69",""
"Female","6"
"Male","18"
"7",""
"Female","272"
"Male","289"
"70",""
"Female","64"
"Male","35"
"71",""
"Female","10"
"Male","11"
"72",""
"Female","21"
"Male","13"
"73",""
"Female","5"
"Male","7"
"74",""
"Female","6"
"Male","6"
"75",""
"Female","38"
"Male","22"
"76",""
"Female","5"
"Male","10"
"77",""
"Female","2"
"Male","7"
"78",""
"Female","6"
"Male","10"
"79",""
"Female","4"
"Male","2"
"8",""
"Female","351"
"Male","311"
"80",""
"Female","12"
"Male","5"
"81",""
"Female","2"
"Male","3"
"82",""
"Female","3"
"Male","4"
"83",""
"Female","2"
"Male","3"
"84",""
"Female","2"
"Male","3"
"85",""
"Female","17"
"Male","16"
"9",""
"Female","226"
"Male","233"
