"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","335"
"Male","288"
"Bangali",""
"Female","13"
"Male","9"
"Brahman - Hill",""
"Female","6109"
"Male","5366"
"Chhetri",""
"Female","13236"
"Male","11649"
"Dalit Others",""
"Female","71"
"Male","77"
"Damai/Dholi",""
"Female","2125"
"Male","1641"
"Dom",""
"Female","10"
"Male","10"
"Gurung",""
"Female","104"
"Male","98"
"Halwai",""
"Female","33"
"Male","35"
"Kami",""
"Female","7208"
"Male","5761"
"Kayastha",""
"Female","9"
"Male","7"
"Kurmi",""
"Female","12"
"Male","9"
"Limbu",""
"Female","17"
"Male","16"
"Lohar",""
"Female","272"
"Male","217"
"Magar",""
"Female","1168"
"Male","1145"
"Musahar",""
"Female","7"
"Male","7"
"Musalman",""
"Female","76"
"Male","73"
"Newar",""
"Female","210"
"Male","182"
"Others",""
"Female","73"
"Male","60"
"Rai",""
"Female","52"
"Male","48"
"Sanyasi/Dasnami",""
"Female","225"
"Male","180"
"Sarki",""
"Female","678"
"Male","566"
"Tamang",""
"Female","153"
"Male","156"
"Teli",""
"Female","8"
"Male","13"
"Terai Others",""
"Female","55"
"Male","42"
"Thakuri",""
"Female","1022"
"Male","920"
"Tharu",""
"Female","8056"
"Male","8030"
"Yadav",""
"Female","14"
"Male","18"
"Yakkha",""
"Female","25"
"Male","19"
