"Population by Educational Attainment","Number"
"Beginners",""
"Female","607"
"Male","708"
"","1315"
"Graduate and Equivalent",""
"Female","107"
"Male","255"
"","362"
"Intermediate and Equivalent",""
"Female","430"
"Male","744"
"","1174"
"Level not Stated",""
"Female","42"
"Male","35"
"","77"
"Lower Secondary (Class 6-8)",""
"Female","3046"
"Male","3607"
"","6653"
"Non Formal Education",""
"Female","1055"
"Male","533"
"","1588"
"Others",""
"Female","20"
"Male","19"
"","39"
"Post Graduate Equivalent and Above",""
"Female","12"
"Male","50"
"","62"
"Primary Education (1-5 Class)",""
"Female","5772"
"Male","6541"
"","12313"
"Secondary Level (Class 9-10)",""
"Female","1825"
"Male","2230"
"","4055"
"SLC and Equivalent",""
"Female","655"
"Male","990"
"","1645"
