"Population by Mother tongue","Number"
"Achhami",""
"Female","3209"
"Male","2329"
"","5538"
"Avadhi",""
"Female","11"
"Male","15"
"","26"
"Bajureli",""
"Female","16"
"Male","16"
"","32"
"Bhojpuri",""
"Female","11"
"Male","11"
"","22"
"Dadeldhuri",""
"Female","11"
"Male","5"
"","16"
"Dailekhi",""
"Female","256"
"Male","220"
"","476"
"Doteli",""
"Female","1028"
"Male","855"
"","1883"
"Gurung",""
"Female","6"
"Male","6"
"","12"
"Hindi",""
"Female","13"
"Male","14"
"","27"
"Jumli",""
"Female","41"
"Male","36"
"","77"
"Khamchi (Raute)",""
"Female","8"
"Male","7"
"","15"
"Khash",""
"Female","10"
"Male","4"
"","14"
"Magar",""
"Female","114"
"Male","98"
"","212"
"Maithili",""
"Female","95"
"Male","100"
"","195"
"Nepali",""
"Female","5687"
"Male","4791"
"","10478"
"Not Reported",""
"Female","4"
"Male","10"
"","14"
"Others",""
"Female","22"
"Male","16"
"","38"
"Sign Language",""
"Female","7"
"Male","7"
"","14"
"Tharu",""
"Female","14883"
"Male","14285"
"","29168"
"Urdu",""
"Female","152"
"Male","131"
"","283"
