"Population by Five Years Age Group","Number"
"0-4",""
"Female","1514"
"Male","1577"
"10-14",""
"Female","2286"
"Male","2440"
"15-19",""
"Female","2329"
"Male","2154"
"20-24",""
"Female","2046"
"Male","1591"
"25-29",""
"Female","1688"
"Male","1536"
"30-34",""
"Female","1454"
"Male","1186"
"35-39",""
"Female","1153"
"Male","1225"
"40-44",""
"Female","1038"
"Male","897"
"45-49",""
"Female","745"
"Male","833"
"50-54",""
"Female","606"
"Male","595"
"55-59",""
"Female","578"
"Male","584"
"5-9",""
"Female","1941"
"Male","1972"
"60-64",""
"Female","514"
"Male","446"
"65-69",""
"Female","341"
"Male","395"
"70-74",""
"Female","205"
"Male","223"
"75+",""
"Female","187"
"Male","180"
