"Population by Educational Attainment","Number"
"Beginners",""
"Female","642"
"Male","803"
"Graduate and Equivalent",""
"Female","20"
"Male","101"
"Intermediate and Equivalent",""
"Female","254"
"Male","447"
"Level not Stated",""
"Female","22"
"Male","28"
"Lower Secondary (Class 6-8)",""
"Female","3154"
"Male","3961"
"Non Formal Education",""
"Female","776"
"Male","599"
"Others",""
"Female","5"
"Male","11"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","22"
"Primary Education (1-5 Class)",""
"Female","5134"
"Male","6331"
"Secondary Level (Class 9-10)",""
"Female","1946"
"Male","2550"
"SLC and Equivalent",""
"Female","748"
"Male","1078"
