"Population by Mother tongue","Number"
"Achhami",""
"Female","6879"
"Male","5634"
"Baitadeli",""
"Female","17"
"Male","6"
"Bajureli",""
"Female","12"
"Male","6"
"Bhojpuri",""
"Female","247"
"Male","243"
"Dadeldhuri",""
"Female","72"
"Male","78"
"Dailekhi",""
"Female","80"
"Male","83"
"Doteli",""
"Female","661"
"Male","570"
"Gurung",""
"Female","8"
"Male","4"
"Hindi",""
"Female","209"
"Male","286"
"Jumli",""
"Female","37"
"Male","37"
"Kham",""
"Female","12"
"Male","15"
"Magar",""
"Female","595"
"Male","550"
"Maithili",""
"Female","171"
"Male","183"
"Nepali",""
"Female","14723"
"Male","12887"
"Newar",""
"Female","64"
"Male","60"
"Not Reported",""
"Female","10"
"Male","13"
"Others",""
"Female","30"
"Male","30"
"Punjabi",""
"Female","16"
"Male","16"
"Raji",""
"Female","30"
"Male","27"
"Tamang",""
"Female","20"
"Male","21"
"Thakali",""
"Female","24"
"Male","21"
"Tharu",""
"Female","15899"
"Male","15445"
"Urdu",""
"Female","23"
"Male","30"
