"Population by Educational Attainment","Number"
"Beginners",""
"Female","1248"
"Male","1398"
"","2646"
"Graduate and Equivalent",""
"Female","242"
"Male","645"
"","887"
"Intermediate and Equivalent",""
"Female","1192"
"Male","1781"
"","2973"
"Level not Stated",""
"Female","99"
"Male","91"
"","190"
"Lower Secondary (Class 6-8)",""
"Female","4868"
"Male","5213"
"","10081"
"Non Formal Education",""
"Female","1145"
"Male","854"
"","1999"
"Others",""
"Female","13"
"Male","21"
"","34"
"Post Graduate Equivalent and Above",""
"Female","45"
"Male","221"
"","266"
"Primary Education (1-5 Class)",""
"Female","8782"
"Male","10097"
"","18879"
"Secondary Level (Class 9-10)",""
"Female","2957"
"Male","3291"
"","6248"
"SLC and Equivalent",""
"Female","1574"
"Male","2102"
"","3676"
