"Population by Caste Ethinicity","Number"
"Badi",""
"Female","30"
"Male","25"
"","55"
"Brahman - Hill",""
"Female","5700"
"Male","5177"
"","10877"
"Chhetri",""
"Female","8731"
"Male","7612"
"","16343"
"Dalit Others",""
"Female","693"
"Male","611"
"","1304"
"Damai/Dholi",""
"Female","772"
"Male","661"
"","1433"
"Dhandi",""
"Female","10"
"Male","8"
"","18"
"Dhanuk",""
"Female","98"
"Male","96"
"","194"
"Gurung",""
"Female","46"
"Male","31"
"","77"
"Hajam/Thakur",""
"Female","8"
"Male","6"
"","14"
"Kami",""
"Female","1603"
"Male","1427"
"","3030"
"Kathabaniyan",""
"Female","3"
"Male","17"
"","20"
"Lohar",""
"Female","153"
"Male","153"
"","306"
"Magar",""
"Female","463"
"Male","425"
"","888"
"Musalman",""
"Female","42"
"Male","43"
"","85"
"Newar",""
"Female","9"
"Male","8"
"","17"
"Others",""
"Female","43"
"Male","52"
"","95"
"Raji",""
"Female","8"
"Male","6"
"","14"
"Sanyasi/Dasnami",""
"Female","520"
"Male","427"
"","947"
"Sarki",""
"Female","858"
"Male","748"
"","1606"
"Tamang",""
"Female","13"
"Male","4"
"","17"
"Thakuri",""
"Female","1506"
"Male","1249"
"","2755"
"Tharu",""
"Female","4678"
"Male","4706"
"","9384"
