"Population by Caste Ethinicity","Number"
"Badi",""
"Female","151"
"Male","138"
"","289"
"Brahman - Hill",""
"Female","3754"
"Male","3359"
"","7113"
"Brahman - Tarai",""
"Female","7"
"Male","8"
"","15"
"Chamar/ Harijan/ Ram",""
"Female","16"
"Male","18"
"","34"
"Chhetri",""
"Female","9069"
"Male","7987"
"","17056"
"Dalit Others",""
"Female","1035"
"Male","852"
"","1887"
"Damai/Dholi",""
"Female","495"
"Male","435"
"","930"
"Gurung",""
"Female","7"
"Male","8"
"","15"
"Halwai",""
"Female","27"
"Male","32"
"","59"
"Kami",""
"Female","1801"
"Male","1475"
"","3276"
"Kumal",""
"Female","32"
"Male","29"
"","61"
"Limbu",""
"Female","7"
"Male","8"
"","15"
"Lohar",""
"Female","130"
"Male","126"
"","256"
"Magar",""
"Female","927"
"Male","893"
"","1820"
"Newar",""
"Female","26"
"Male","16"
"","42"
"Others",""
"Female","36"
"Male","25"
"","61"
"Rai",""
"Female","14"
"Male","5"
"","19"
"Raji",""
"Female","46"
"Male","41"
"","87"
"Rajput",""
"Female","22"
"Male","18"
"","40"
"Raute",""
"Female","9"
"Male","6"
"","15"
"Sanyasi/Dasnami",""
"Female","413"
"Male","319"
"","732"
"Sarki",""
"Female","291"
"Male","238"
"","529"
"Tamang",""
"Female","17"
"Male","18"
"","35"
"Terai Others",""
"Female","9"
"Male","13"
"","22"
"Thakuri",""
"Female","959"
"Male","750"
"","1709"
"Thami",""
"Female","12"
"Male","6"
"","18"
"Tharu",""
"Female","10272"
"Male","10236"
"","20508"
