"Population by Educational Attainment","Number"
"Beginners",""
"Female","466"
"Male","565"
"","1031"
"Graduate and Equivalent",""
"Female","63"
"Male","169"
"","232"
"Intermediate and Equivalent",""
"Female","314"
"Male","459"
"","773"
"Level not Stated",""
"Female","35"
"Male","33"
"","68"
"Lower Secondary (Class 6-8)",""
"Female","3048"
"Male","3334"
"","6382"
"Non Formal Education",""
"Female","318"
"Male","256"
"","574"
"Others",""
"Female","13"
"Male","22"
"","35"
"Post Graduate Equivalent and Above",""
"Female","16"
"Male","68"
"","84"
"Primary Education (1-5 Class)",""
"Female","6021"
"Male","6174"
"","12195"
"Secondary Level (Class 9-10)",""
"Female","1160"
"Male","1580"
"","2740"
"SLC and Equivalent",""
"Female","422"
"Male","500"
"","922"
