"Population by Mother tongue","Number"
"Achhami",""
"Female","500"
"Male","432"
"Baitadeli",""
"Female","287"
"Male","259"
"Bajhangi",""
"Female","609"
"Male","491"
"Bajureli",""
"Female","972"
"Male","809"
"Bhujel",""
"Female","19"
"Male","14"
"Dadeldhuri",""
"Female","12"
"Male","7"
"Dailekhi",""
"Female","361"
"Male","270"
"Darchuleli",""
"Female","13"
"Male","13"
"Doteli",""
"Female","6650"
"Male","5568"
"Gurung",""
"Female","211"
"Male","154"
"Hindi",""
"Female","53"
"Male","86"
"Jumli",""
"Female","7"
"Male","5"
"Kham",""
"Female","9"
"Male","8"
"Khash",""
"Female","5"
"Male","6"
"Magar",""
"Female","486"
"Male","488"
"Maithili",""
"Female","29"
"Male","45"
"Majhi",""
"Female","36"
"Male","37"
"Nepali",""
"Female","9882"
"Male","8379"
"Newar",""
"Female","109"
"Male","89"
"Not Reported",""
"Female","11"
"Male","8"
"Others",""
"Female","27"
"Male","30"
"Rai",""
"Female","9"
"Male","8"
"Tamang",""
"Female","3206"
"Male","2663"
"Tharu",""
"Female","5223"
"Male","5038"
