"Industries Employment","Number"
"Accommodation,  food",""
"Female","5871"
"Male","10836"
"Administrative, support service",""
"Female","62"
"Male","513"
"Agriculture, forestry and  fishing",""
"Female","1848"
"Male","3728"
"Arts, entertainment, recreation",""
"Female","43"
"Male","244"
"Construction",""
"Female","187"
"Male","874"
"Education",""
"Female","14578"
"Male","28193"
"Electricity, gas and water",""
"Female","108"
"Male","1163"
"Financial intermediation and insurance",""
"Female","2355"
"Male","5511"
"Health, social work",""
"Female","4888"
"Male","4745"
"Information and communication",""
"Female","299"
"Male","921"
"Manufacturing",""
"Female","7449"
"Male","19235"
"Other service activities",""
"Female","2752"
"Male","5943"
"Professional, scientific, techniqual activity",""
"Female","192"
"Male","834"
"Real estate, renting and business activity",""
"Female","2"
"Male","13"
"Transportation,  storage",""
"Female","174"
"Male","857"
"Water supply, wet management",""
"Female","96"
"Male","260"
"Wholesale, retail trade",""
"Female","19183"
"Male","41079"
